1, GET (SID1033,CSE016, None, 2025-04-18T22:57:06.950550)
35, SET (SID1033,CSE016, A, 2025-04-18T22:57:05.822412)
36, SET (SID1352,CSE016, B, 2025-04-18T22:57:07.125773)
37, SET (SID1352,CSE016, B, 2025-04-18T22:57:07.125773)
38, SET (SID1403,CSE006, A, 2025-04-18T22:57:06.953349)
39, SET (SID1352,CSE016, B, 2025-04-18T22:57:06.967118)
40, SET (SID1352,CSE016, B, 2025-04-18T22:57:06.967118)
41, SET (SID1310,CSE020, B, 2025-04-18T22:57:06.349159)
42, SET (SID1994,CSE018, B, 2025-04-18T22:57:07.675481)
43, SET (SID1994,CSE018, B, 2025-04-18T22:57:07.675481)
44, SET (SID1994,CSE018, B, 2025-04-18T22:57:06.973266)
45, SET (SID1994,CSE018, B, 2025-04-18T22:57:06.973266)
46, SET (SID1697,CSE016, E, 2025-04-18T23:11:15.797044)
47, SET (SID1403,CSE006, A, 2025-04-18T22:57:06.953349)
48, SET (SID1403,CSE006, A, 2025-04-18T22:57:09.498506)
49, SET (SID1697,CSE016, E, 2025-04-18T23:10:09.961094)
50, SET (SID1403,CSE006, A, 2025-04-18T22:57:06.953349)
51, SET (SID1156,CSE001, B, 2025-04-18T22:57:06.956863)
52, SET (SID1156,CSE001, B, 2025-04-18T22:57:06.956863)
53, SET (SID1081,CSE016, C, 2025-04-18T22:57:06.959406)
54, SET (SID1352,CSE016, B, 2025-04-18T22:57:07.125773)
55, SET (SID1156,CSE001, B, 2025-04-18T22:57:10.113489)
56, SET (SID1156,CSE001, B, 2025-04-18T22:57:06.956863)
57, SET (SID1352,CSE016, B, 2025-04-18T22:57:06.967118)
58, SET (SID1081,CSE016, C, 2025-04-18T22:57:10.602460)
59, SET (SID1880,CSE001, A, 2025-04-18T23:11:16.694727)
60, SET (SID1081,CSE016, C, 2025-04-18T22:57:06.959406)
61, SET (SID1880,CSE001, A, 2025-04-18T23:10:09.963503)
62, SET (SID1081,CSE016, C, 2025-04-18T22:57:06.959406)
63, SET (SID1994,CSE018, B, 2025-04-18T22:57:07.675481)
64, SET (SID1994,CSE018, B, 2025-04-18T22:57:06.973266)
65, SET (SID1298,CSE019, B, 2025-04-18T23:11:17.656748)
66, SET (SID1298,CSE019, B, 2025-04-18T23:10:09.965203)
67, SET (SID1033,CSE016, A, 2025-04-18T22:57:05.822412)
68, SET (SID1403,CSE006, A, 2025-04-18T22:57:06.953349)
69, SET (SID1310,CSE020, B, 2025-04-18T22:57:06.349159)
70, SET (SID1156,CSE001, B, 2025-04-18T22:57:06.956863)
71, SET (SID1081,CSE016, C, 2025-04-18T22:57:06.959406)
72, SET (SID1352,CSE016, B, 2025-04-18T22:57:07.125773)
73, SET (SID1994,CSE018, B, 2025-04-18T22:57:07.675481)
74, SET (SID1403,CSE006, A, 2025-04-18T22:57:06.953349)
75, SET (SID1697,CSE016, E, 2025-04-18T23:10:09.961094)
76, SET (SID1987,CSE013, E, 2025-04-18T23:11:13.425045)
77, SET (SID1156,CSE001, B, 2025-04-18T22:57:06.956863)
78, SET (SID1880,CSE001, A, 2025-04-18T23:10:09.963503)
79, SET (SID1113,CSE006, A, 2025-04-18T23:11:13.427233)
80, SET (SID1081,CSE016, C, 2025-04-18T22:57:06.959406)
81, SET (SID1298,CSE019, B, 2025-04-18T23:10:09.965203)
82, SET (SID1727,CSE008, B, 2025-04-18T23:11:13.428861)
83, SET (SID1033,CSE016, A, 2025-04-18T22:57:05.822412)
84, SET (SID1868,CSE013, C, 2025-04-18T23:10:08.937145)
85, SET (SID1310,CSE020, B, 2025-04-18T22:57:06.349159)
86, SET (SID1102,CSE013, D, 2025-04-18T23:10:09.317597)
87, SET (SID1352,CSE016, B, 2025-04-18T22:57:07.125773)
88, SET (SID1965,CSE004, D, 2025-04-18T23:10:10.298447)
89, SET (SID1994,CSE018, B, 2025-04-18T22:57:07.675481)
90, SET (SID1092,CSE007, B, 2025-04-18T23:10:10.985420)
91, SET (SID1403,CSE006, A, 2025-04-18T22:57:09.498506)
92, SET (SID1156,CSE001, B, 2025-04-18T22:57:10.113489)
93, SET (SID1081,CSE016, C, 2025-04-18T22:57:10.602460)
